"","Protein.ID","Uniprot","Protein.names","fc3"
"23","CHOYP_BRAFLDRAFT_90332.3.4|m.18933","Q8C6K9","Collagen alpha-6(VI) chain",2.09590327428938
"28","CHOYP_CCD22.1.1|m.6639","A7RNG8","Coiled-coil domain-containing protein 22 homolog",-3.41902258270291
"31","CHOYP_CHD7.2.2|m.14418","Q8BYH8","Chromodomain-helicase-DNA-binding protein 9 (CHD-9) (EC 3.6.4.12) (ATP-dependent helicase CHD9) (PPAR-alpha-interacting complex protein 320 kDa) (Peroxisomal proliferator-activated receptor A-interacting complex 320 kDa protein)",3.70951129135145
"34","CHOYP_COCA1.3.6|m.49360","P29030","Endochitinase (EC 3.2.1.14) (MF1 antigen)",-2.91844995960714
"78","CHOYP_LOC100366575.1.1|m.29959","Q9D3N2","EF-hand calcium-binding domain-containing protein 1",-2.4594316186373
"83","CHOYP_LOC100369194.1.1|m.42345","Q5EAJ7","Major vault protein (MVP)",-2.16992500144231
"103","CHOYP_LOC100378873.3.3|m.30410","Q9H0J4","Glutamine-rich protein 2",-3.96936229591612
"109","CHOYP_LOC100553519.1.1|m.20707","Q8VDM6","Heterogeneous nuclear ribonucleoprotein U-like protein 1",-2.39795569343158
"137","CHOYP_LOC592825.1.1|m.43751","Q5RBB1","Sentrin-specific protease 1 (EC 3.4.22.68) (Sentrin/SUMO-specific protease SENP1)",3.0896936467371
"152","CHOYP_MTAP.1.1|m.15433","Q7ZV22","S-methyl-5'-thioadenosine phosphorylase (EC 2.4.2.28) (5'-methylthioadenosine phosphorylase) (MTA phosphorylase) (MTAP) (MTAPase)",-3.96936229591612
"240","CHOYP_CAOG_02976.2.2|m.56777","P93732","Proline iminopeptidase (PIP) (EC 3.4.11.5) (Prolyl aminopeptidase) (PAP)",-2.19897784671579
"271","CHOYP_ISCW_ISCW017652.1.1|m.49306","Q32PI8","28S ribosomal protein S27, mitochondrial (MRP-S27) (S27mt)",3.0896936467371
"286","CHOYP_LOC100367612.1.1|m.37487","Q5XI13","Glutamate-rich WD repeat-containing protein 1",2.32192809488736
"299","CHOYP_LOC100376442.1.1|m.40651","A7S8T5","Coiled-coil domain-containing protein 42 homolog",-3.0896936467371
