"","Protein.ID","Uniprot","Protein.names","fc11"
"33","CHOYP_CN166.1.1|m.14529","Q5R8I2","UPF0568 protein C14orf166 homolog",2.70951129135145
"59","CHOYP_HMCN1.5.44|m.7236","A2ASS6","Titin (EC 2.7.11.1) (Connectin)",2.70951129135145
"75","CHOYP_LOC100182585.2.2|m.24665","Q2PFW9","RNA-binding protein Nova-1 (Neuro-oncological ventral antigen 1) (Ventral neuron-specific protein 1)",2.91844995960714
"109","CHOYP_LOC100553519.1.1|m.20707","Q8VDM6","Heterogeneous nuclear ribonucleoprotein U-like protein 1",-3.96936229591612
"121","CHOYP_LOC100888944.1.1|m.45112","P53500","Actin",3.41902258270291
"152","CHOYP_MTAP.1.1|m.15433","Q7ZV22","S-methyl-5'-thioadenosine phosphorylase (EC 2.4.2.28) (5'-methylthioadenosine phosphorylase) (MTA phosphorylase) (MTAP) (MTAPase)",4.20442612236725
"188","CHOYP_TITIN.19.19|m.66288","A2ASS6","Titin (EC 2.7.11.1) (Connectin)",-4.20442612236725
"253","CHOYP_DNAH5.1.2|m.56799","Q8TE73","Dynein heavy chain 5, axonemal (Axonemal beta dynein heavy chain 5) (Ciliary dynein heavy chain 5)",-2.58496250072116
"348","CHOYP_NDUFS4.1.1|m.66417","P0CB96","NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial (Complex I-18 kDa) (CI-18 kDa) (NADH-ubiquinone oxidoreductase 18 kDa subunit)",-2.26941239209809
"365","CHOYP_PLCD1.1.1|m.63908","P51178","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1 (EC 3.1.4.11) (Phosphoinositide phospholipase C-delta-1) (Phospholipase C-III) (PLC-III) (Phospholipase C-delta-1) (PLC-delta-1)",2.70951129135145
"395","CHOYP_BCL7A.1.1|m.29528","Q9CXE2","B-cell CLL/lymphoma 7 protein family member A",-2.70951129135145
"527","CHOYP_NIF3L.1.2|m.28817","Q9GZT8","NIF3-like protein 1 (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 1 protein)",-2.70951129135145
"599","CHOYP_BRAFLDRAFT_69134.2.13|m.10914","Q86Z23","Complement C1q-like protein 4 (C1q and tumor necrosis factor-related protein 11) (C1q/TNF-related protein 11)",2.4594316186373
"640","CHOYP_LOC100119008.1.1|m.43229","H3ZPL1","Aromatic-amino-acid aminotransferase 1 (ARAT-I) (AROAT) (EC 2.6.1.57)",3.0896936467371
"647","CHOYP_LOC100210677.8.8|m.43132","Q700K0","SCO-spondin",2.70951129135145
"668","CHOYP_LOC100372481.1.1|m.21011","Q5RC32","Nuclear protein MDM1",2.70951129135145
"685","CHOYP_LOC100641267.2.2|m.57947","Q829L6","Ectoine dioxygenase (EC 1.14.11.-) (Ectoine hydroxylase)",2.16992500144231
"695","CHOYP_LOC100929680.2.2|m.28318","P15941","Mucin-1 (MUC-1) (Breast carcinoma-associated antigen DF3) (Cancer antigen 15-3) (CA 15-3) (Carcinoma-associated mucin) (Episialin) (H23AG) (Krebs von den Lungen-6) (KL-6) (PEMT) (Peanut-reactive urinary mucin) (PUM) (Polymorphic epithelial mucin) (PEM) (Tumor-associated epithelial membrane antigen) (EMA) (Tumor-associated mucin) (CD antigen CD227) [Cleaved into: Mucin-1 subunit alpha (MUC1-NT) (MUC1-alpha); Mucin-1 subunit beta (MUC1-beta) (MUC1-CT)]",2
"698","CHOYP_LOC101077542.1.1|m.58180","Q26636","Cathepsin L (EC 3.4.22.15) [Cleaved into: Cathepsin L heavy chain; Cathepsin L light chain]",-2.32192809488736
