"","Protein.ID","Uniprot","Protein.names","fc15"
"54","CHOYP_GGPPS.1.1|m.12124","O95749","Geranylgeranyl pyrophosphate synthase (GGPP synthase) (GGPPSase) (EC 2.5.1.-) ((2E,6E)-farnesyl diphosphate synthase) (Dimethylallyltranstransferase) (EC 2.5.1.1) (Farnesyl diphosphate synthase) (Farnesyltranstransferase) (EC 2.5.1.29) (Geranylgeranyl diphosphate synthase) (Geranyltranstransferase) (EC 2.5.1.10)",3.41902258270291
"61","CHOYP_HMCN2.9.12|m.44986","O75147","Obscurin-like protein 1",2
"80","CHOYP_LOC100367787.1.1|m.52250","A8MV24","Uncharacterized protein C17orf98",2.8073549220576
"135","CHOYP_LOC591898.2.2|m.29158","Q9X248","3-oxoacyl-[acyl-carrier-protein] reductase FabG (EC 1.1.1.100) (3-ketoacyl-acyl carrier protein reductase) (Beta-Ketoacyl-acyl carrier protein reductase) (Beta-ketoacyl-ACP reductase)",-2.25985100456466
"136","CHOYP_LOC592745.1.1|m.47718","Q10002","DNA-(apurinic or apyrimidinic site) lyase (EC 4.2.99.18) (Apurinic-apyrimidinic endonuclease) (AP endonuclease)",-2.25985100456466
"188","CHOYP_TITIN.19.19|m.66288","A2ASS6","Titin (EC 2.7.11.1) (Connectin)",5.28540221886225
"210","CHOYP_APLP.1.2|m.5955","Q9U943","Apolipophorins [Cleaved into: Apolipophorin-2 (Apolipophorin II) (apoLp-2); Apolipophorin-1 (Apolipophorin I) (apoLp-1)]",2.4594316186373
"211","CHOYP_APLP.2.2|m.55987","Q9U943","Apolipophorins [Cleaved into: Apolipophorin-2 (Apolipophorin II) (apoLp-2); Apolipophorin-1 (Apolipophorin I) (apoLp-1)]",2.4594316186373
"230","CHOYP_BRAFLDRAFT_59647.1.1|m.25700","Q4QRK0","Methionine aminopeptidase 1 (MAP 1) (MetAP 1) (EC 3.4.11.18) (Peptidase M 1)",-2.4594316186373
"271","CHOYP_ISCW_ISCW017652.1.1|m.49306","Q32PI8","28S ribosomal protein S27, mitochondrial (MRP-S27) (S27mt)",2
"288","CHOYP_LOC100370603.1.1|m.51092","P40237","CD82 antigen (C33 antigen) (IA4) (Inducible membrane protein R2) (Metastasis suppressor Kangai-1 homolog) (CD antigen CD82)",3.41902258270291
"471","CHOYP_LOC100369657.2.2|m.45309","P19891","Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4) (Glutamine-dependent asparagine synthetase)",-3.37342979234984
